DATE,WDDNS
1979-11-12,261.2
1979-11-19,260.2
1979-11-26,255.2
1979-12-03,260.5
1979-12-10,263.3
1979-12-17,265.8
1979-12-24,263.5
1979-12-31,274.1
1980-01-07,275.9
1980-01-14,269.3
1980-01-21,260.7
1980-01-28,252.2
1980-02-04,258.9
1980-02-11,257.0
1980-02-18,254.4
1980-02-25,248.8
1980-03-03,254.2
1980-03-10,255.9
1980-03-17,256.6
1980-03-24,249.7
1980-03-31,251.8
1980-04-07,261.4
1980-04-14,262.0
1980-04-21,258.1
1980-04-28,248.2
1980-05-05,249.6
1980-05-12,247.4
1980-05-19,247.5
1980-05-26,241.8
1980-06-02,250.5
1980-06-09,253.6
1980-06-16,257.0
1980-06-23,250.5
1980-06-30,253.2
1980-07-07,259.8
1980-07-14,262.0
1980-07-21,255.5
1980-07-28,252.3
1980-08-04,260.8
1980-08-11,261.6
1980-08-18,259.1
1980-08-25,254.4
1980-09-01,258.3
1980-09-08,266.4
1980-09-15,269.5
1980-09-22,261.4
1980-09-29,258.3
1980-10-06,270.1
1980-10-13,270.8
1980-10-20,269.0
1980-10-27,263.3
1980-11-03,269.0
1980-11-10,270.2
1980-11-17,271.8
1980-11-24,264.5
1980-12-01,268.2
1980-12-08,269.6
1980-12-15,272.1
1980-12-22,269.2
1980-12-29,266.6
1981-01-05,276.3
1981-01-12,261.3
1981-01-19,255.0
1981-01-26,240.2
1981-02-02,237.8
1981-02-09,237.5
1981-02-16,235.4
1981-02-23,230.9
1981-03-02,231.8
1981-03-09,235.6
1981-03-16,236.1
1981-03-23,229.5
1981-03-30,230.3
1981-04-06,242.9
1981-04-13,243.7
1981-04-20,247.5
1981-04-27,237.7
1981-05-04,236.5
1981-05-11,234.0
1981-05-18,232.4
1981-05-25,224.9
1981-06-01,231.1
1981-06-08,233.0
1981-06-15,236.0
1981-06-22,230.7
1981-06-29,228.2
1981-07-06,239.6
1981-07-13,236.6
1981-07-20,233.4
1981-07-27,227.3
1981-08-03,231.5
1981-08-10,235.5
1981-08-17,231.4
1981-08-24,225.9
1981-08-31,227.7
1981-09-07,230.6
1981-09-14,237.7
1981-09-21,230.5
1981-09-28,222.6
1981-10-05,233.3
1981-10-12,234.2
1981-10-19,235.1
1981-10-26,227.4
1981-11-02,231.1
1981-11-09,234.2
1981-11-16,235.2
1981-11-23,228.3
1981-11-30,233.6
1981-12-07,239.2
1981-12-14,238.3
1981-12-21,239.2
1981-12-28,237.5
1982-01-04,253.4
1982-01-11,249.0
1982-01-18,240.9
1982-01-25,227.8
1982-02-01,228.7
1982-02-08,226.5
1982-02-15,225.6
1982-02-22,221.0
1982-03-01,223.2
1982-03-08,226.2
1982-03-15,227.3
1982-03-22,221.6
1982-03-29,219.5
1982-04-05,232.6
1982-04-12,235.2
1982-04-19,236.3
1982-04-26,228.0
1982-05-03,225.3
1982-05-10,227.1
1982-05-17,225.4
1982-05-24,220.9
1982-05-31,221.7
1982-06-07,228.6
1982-06-14,231.0
1982-06-21,226.2
1982-06-28,219.6
1982-07-05,228.8
1982-07-12,232.5
1982-07-19,228.0
1982-07-26,222.0
1982-08-02,224.6
1982-08-09,226.8
1982-08-16,226.9
1982-08-23,222.9
1982-08-30,222.5
1982-09-06,228.3
1982-09-13,233.8
1982-09-20,230.2
1982-09-27,221.8
1982-10-04,232.2
1982-10-11,234.2
1982-10-18,235.3
1982-10-25,228.2
1982-11-01,233.1
1982-11-08,236.3
1982-11-15,239.1
1982-11-22,233.0
1982-11-29,233.4
1982-12-06,240.1
1982-12-13,242.6
1982-12-20,242.4
1982-12-27,240.7
1983-01-03,252.8
1983-01-10,250.4
1983-01-17,241.2
1983-01-24,229.8
1983-01-31,227.0
1983-02-07,230.1
1983-02-14,228.5
1983-02-21,223.6
1983-02-28,225.8
1983-03-07,232.0
1983-03-14,231.2
1983-03-21,228.9
1983-03-28,224.3
1983-04-04,239.1
1983-04-11,240.1
1983-04-18,238.8
1983-04-25,232.2
1983-05-02,232.0
1983-05-09,233.4
1983-05-16,235.4
1983-05-23,230.1
1983-05-30,227.8
1983-06-06,238.9
1983-06-13,240.6
1983-06-20,238.0
1983-06-27,231.1
1983-07-04,240.3
1983-07-11,246.0
1983-07-18,241.4
1983-07-25,234.0
1983-08-01,236.5
1983-08-08,238.8
